"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000003.15",2164.01843279153,-0.143963922125394,0.0977030102083238,-1.47348502178625,0.140620299687608,0.225489443868064
"ENSG00000000005.6",6.74156736441195,-2.86597933692682,0.344208874999632,-8.32627960836244,8.34226327320606e-17,3.95349083421882e-15
"ENSG00000000419.13",1589.76546723618,-0.334442105802303,0.0569274344954269,-5.8748845572721,4.23138117065817e-09,5.23095372441686e-08
"ENSG00000000457.14",665.614738328875,0.0754354668519519,0.0567292385337106,1.32974580307693,0.183602038116394,0.279355246309619
"ENSG00000000460.17",567.636910145709,0.0506312136162266,0.0789776100876849,0.641083131789038,0.521468672990699,0.624347284754802
"ENSG00000000938.13",646.452705692901,-0.795666851413474,0.163725148623509,-4.85977174614228,1.17521168312464e-06,8.3223969967671e-06
"ENSG00000000971.16",2856.52035022486,-0.992864383121837,0.16612723005226,-5.97653005355896,2.27940518897102e-09,2.97913957434005e-08
"ENSG00000001036.14",3085.27056986408,0.181299128737936,0.0812856250828965,2.2303959470453,0.0257211684096795,0.0546116578004137
"ENSG00000001084.13",1392.57809657382,-0.000148089711711671,0.0738997945165403,-0.00200392589289982,0.998401099539185,0.999002010232987
"ENSG00000001167.14",2448.7691275917,0.132769915312678,0.0797856388489808,1.66408287541555,0.0960958687293166,0.165264058266556
"ENSG00000001460.18",1127.25112666165,0.453287877406763,0.0986097078516063,4.59678755046001,4.29054702153255e-06,2.65639379277426e-05
"ENSG00000001461.17",5446.76184591181,0.172948169770735,0.125069528302139,1.38281619926584,0.166721230613433,0.258718880885468
"ENSG00000001497.18",3306.95583718519,0.0153976478438108,0.0496077787492115,0.31038777046746,0.756266092983654,0.820805644659388
"ENSG00000001561.7",360.738457654635,-0.891176214469378,0.197183110126233,-4.51953625185679,6.19752353755727e-06,3.67553472128932e-05
"ENSG00000001617.12",1099.38181150991,-0.819023996989984,0.130872699996737,-6.2581729956699,3.8951360840993e-10,5.99369292585468e-09
"ENSG00000001626.16",18.7684832859479,-0.71656953570876,0.226360127166778,-3.16561730494525,0.00154754248751699,0.00485609368563088
"ENSG00000001629.10",3224.25576892983,-0.179185609396587,0.0790537627767164,-2.26662973529404,0.0234128540336445,0.0503797587028906
"ENSG00000001630.17",165.442597627698,0.215284121324684,0.130745722692238,1.64658634249504,0.0996430995604016,0.170278432816838
"ENSG00000001631.16",308.230242974275,-0.343904644614344,0.0743184950004763,-4.62744360757224,3.70206990233114e-06,2.32530496117103e-05
"ENSG00000002016.18",452.444164698045,-0.0715640751825766,0.069051806764419,-1.03638237051101,0.30002379167609,0.410589029622708
"ENSG00000002079.14",8.79987185580982,-0.640325368050515,0.157012745697713,-4.07817445141234,4.53907035559455e-05,0.000216245807105939
"ENSG00000002330.14",549.126318018595,0.0569460882671914,0.0949767607686679,0.599579179225677,0.548786726572145,0.648712079891707
"ENSG00000002549.12",7842.26420974521,-0.113668774048392,0.0982044911054154,-1.15747022125879,0.247080298884013,0.353499186995434
"ENSG00000002586.20",20254.5255627485,0.470578177605135,0.0992386529349893,4.74188397048686,2.1173988833317e-06,1.41552730238108e-05
"ENSG00000002586.20_PAR_Y",0,NA,NA,NA,NA,NA
"ENSG00000002587.10",357.364553817102,-0.580946297817145,0.159958157546539,-3.63186414952374,0.000281381246380643,0.00108940543661596
"ENSG00000002726.21",38.1626467988331,-0.533944603947661,0.190116972031429,-2.80850572277887,0.0049771997810015,0.0134004260735884
"ENSG00000002745.13",36.5139294975192,-2.75298400964588,0.233007428368375,-11.8150053366261,3.26528181365425e-32,9.5571579393731e-30
"ENSG00000002746.15",55.5011115440422,-1.20599906967952,0.276828827223782,-4.3564793514247,1.32171155322952e-05,7.19112129536919e-05
"ENSG00000002822.15",768.654903468208,1.12025943693674,0.171203935262609,6.54342106808686,6.01272261811689e-11,1.07948499980205e-09
"ENSG00000002834.18",14930.29745258,0.0601549457290928,0.0694233050661501,0.866494985679148,0.386218774986486,0.498897427381145
"ENSG00000002919.15",1635.35206977734,0.232871360347153,0.0566085568146979,4.11371307538245,3.89345324768034e-05,0.00018864502667299
"ENSG00000002933.9",1791.96629759716,-0.805920094170522,0.159756775499891,-5.0446692583068,4.54306521220586e-07,3.56329262784865e-06
"ENSG00000003056.8",5560.44562752559,0.336296630862444,0.0781122611206005,4.30529888698552,1.66760429753937e-05,8.86077343573653e-05
"ENSG00000003096.14",334.458811882199,-0.830809476739779,0.22998345322423,-3.61247500675517,0.000303288346665578,0.00116316972078202
"ENSG00000003137.8",572.969543362355,-0.509980991519029,0.159825216731936,-3.19086688538258,0.00141846617428123,0.00449792409670225
"ENSG00000003147.19",699.871325148368,-0.100120152135502,0.144661285190174,-0.69210052989563,0.488874198932204,0.595765707550807
"ENSG00000003249.15",4672.45642142384,0.697146920235584,0.135840250214097,5.13210862860465,2.86514050306205e-07,2.35477495725262e-06
"ENSG00000003393.15",2055.17316947638,0.0147082064839338,0.0607887228760459,0.241956168645379,0.808814126558162,0.860644991628314
"ENSG00000003400.15",537.966585154873,-0.425033909072944,0.121785624187898,-3.49001708458772,0.000482989668613461,0.00174587029108651
"ENSG00000003402.20",3195.09399528166,-0.363974958583808,0.0721993572352929,-5.0412492925337,4.62502490876742e-07,3.62006186926915e-06
"ENSG00000003436.16",883.333671263901,-1.55192621499383,0.150946641607232,-10.2812901199351,8.55743599103887e-25,1.23924792564306e-22
"ENSG00000003509.16",651.924306915094,-0.173978506424684,0.0554946082405455,-3.13505243014891,0.00171823399170475,0.00531688258099208
"ENSG00000003756.17",3333.12969738903,-0.0544604277426606,0.0577199078335103,-0.943529360783952,0.345410204674112,0.457399443276157
"ENSG00000003987.14",64.8809685623516,-0.395192617104721,0.125302458018186,-3.15390953501778,0.00161099016053588,0.00502747958043191
"ENSG00000003989.18",968.085454473357,-0.264709207230743,0.194572696048651,-1.360464302579,0.173683041922289,0.267097230063333
"ENSG00000004059.11",5496.33517135302,0.0619177456698661,0.0780532457198596,0.793275732467227,0.427617192411835,0.539365292434849
"ENSG00000004139.14",448.455716150174,0.293784389660604,0.0984063051618903,2.98542241960302,0.00283186960999808,0.00821627677003421
"ENSG00000004142.12",7721.55703490562,0.295674898735792,0.0618446043484087,4.7809328210764,1.74483666688711e-06,1.18863959267599e-05
"ENSG00000004399.13",9935.79903278736,-0.115587887941911,0.117646143860269,-0.982504688629633,0.32585127423926,0.437379881796025
"ENSG00000004455.17",9839.08550110209,0.324132255709412,0.062868707331727,5.15570097535371,2.52683859090355e-07,2.1029328296983e-06
"ENSG00000004468.13",778.799526359212,-0.963574070931284,0.20986626242273,-4.59137195186891,4.40341770984364e-06,2.71912792660137e-05
"ENSG00000004478.8",7818.48779970835,-0.00123010477548631,0.0980707856050219,-0.0125430296891934,0.989992372678643,0.993146584438083
"ENSG00000004487.17",6619.58395328289,0.0487768853067129,0.0921925032438063,0.529076482257139,0.596752395011218,0.690792754051255
"ENSG00000004534.15",3611.05683796862,-0.247412959474716,0.0656669300813822,-3.76769492906235,0.000164761876797774,0.000677050216120029
"ENSG00000004660.15",517.542558069848,0.144183941773863,0.103233436520708,1.39667869862049,0.162510212607187,0.25348080223598
"ENSG00000004700.16",1656.2791894387,-0.376492943064909,0.101741131192332,-3.70049889019991,0.000215176020482992,0.00085773144677106
"ENSG00000004766.17",1385.70610812358,-0.0757217033698868,0.0740344779140994,-1.02278972585915,0.306407276802615,0.417277736441898
"ENSG00000004776.13",162.922341470699,0.083132229213935,0.220801021143566,0.37650292006522,0.706543045027629,0.781638620536108
"ENSG00000004777.18",474.64412789702,-0.49958133975318,0.0982528393006718,-5.08465041121477,3.68303801997257e-07,2.95282457920717e-06
"ENSG00000004779.10",2717.7321852552,0.128390506160904,0.0502866386451203,2.55317336016378,0.0106746350427745,0.0258331886367646
"ENSG00000004799.8",2035.13949041578,-0.171941970822678,0.219070463823547,-0.784870620263855,0.432529429290147,0.544141058212219
